"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 21:59:52 GMT 2023","Wed Apr 19 21:59:54 GMT 2023","1994","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()",""
"passed","Wed Apr 19 22:00:01 GMT 2023","Wed Apr 19 22:00:06 GMT 2023","5283","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
"passed","Wed Apr 19 21:59:21 GMT 2023","Wed Apr 19 21:59:25 GMT 2023","4604","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
"passed","Wed Apr 19 21:59:25 GMT 2023","Wed Apr 19 21:59:28 GMT 2023","2353","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
"passed","Wed Apr 19 21:59:28 GMT 2023","Wed Apr 19 21:59:50 GMT 2023","22310","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
"passed","Wed Apr 19 21:59:56 GMT 2023","Wed Apr 19 21:59:58 GMT 2023","2069","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()",""
"passed","Wed Apr 19 21:59:50 GMT 2023","Wed Apr 19 21:59:52 GMT 2023","1954","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()",""
"broken","Wed Apr 19 21:59:58 GMT 2023","Wed Apr 19 22:00:01 GMT 2023","2575","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"passed","Wed Apr 19 21:59:54 GMT 2023","Wed Apr 19 21:59:56 GMT 2023","2297","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()",""
