"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 22:09:16 GMT 2023","Wed Apr 19 22:09:18 GMT 2023","1678","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()",""
"passed","Wed Apr 19 22:09:25 GMT 2023","Wed Apr 19 22:09:30 GMT 2023","4598","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
"passed","Wed Apr 19 22:09:21 GMT 2023","Wed Apr 19 22:09:25 GMT 2023","3875","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"passed","Wed Apr 19 22:09:14 GMT 2023","Wed Apr 19 22:09:16 GMT 2023","1664","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()",""
"passed","Wed Apr 19 22:09:19 GMT 2023","Wed Apr 19 22:09:21 GMT 2023","1733","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()",""
"passed","Wed Apr 19 22:09:18 GMT 2023","Wed Apr 19 22:09:19 GMT 2023","1740","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()",""
"passed","Wed Apr 19 22:08:47 GMT 2023","Wed Apr 19 22:08:51 GMT 2023","3844","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
"passed","Wed Apr 19 22:08:51 GMT 2023","Wed Apr 19 22:08:53 GMT 2023","1970","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
"passed","Wed Apr 19 22:08:53 GMT 2023","Wed Apr 19 22:09:14 GMT 2023","21726","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
